Location,Confirmed,Active,Recovered,Deceased
North America,2617709,1310233,1156404,151072
South America,1629067,659269,902856,66942
Europe,2278663,860712,1232458,185493
Asia,1794172,619929,1128393,45850
Africa,280070,142100,130506,7464
Oceania,9023,432,8467,124
world,8609425,3592730,4559735,456960
USA,2263982,1212215,931079,120688
Brazil,983359,415130,520360,47869
Russia,569063,236816,324406,7841
India,382143,164079,205454,12610
UK,300469,0,0,42288
Spain,292348,0,0,27136
Peru,244388,105737,131190,7461
Italy,238159,23101,180544,34514
Chile,225103,34821,186441,3841
Iran,200262,31678,159192,9392
Germany,190187,7135,174100,8952
Turkey,184031,23127,156022,4882
Mexico,165455,22613,123095,19747
Pakistan,165062,100450,61383,3229
France,158641,55151,73887,29603
Saudi Arabia,145991,50937,93915,1139
Bangladesh,105535,61202,42945,1388
Canada,100220,29424,62496,8300
Qatar,85462,19960,65409,93
South Africa,83890,37233,44920,1737
Belgium,60476,34030,16751,9695
Colombia,60217,35587,22680,1950
Belarus,57333,21721,35275,337
Sweden,56043,0,0,5053
Egypt,50437,34971,13528,1938
Netherlands,49319,0,0,6078
Ecuador,49097,20887,24123,4087
UAE,44145,12849,30996,300
Indonesia,43803,24081,17349,2373
Singapore,41615,8877,32712,26
Kuwait,38678,8175,30190,313
Portugal,38089,12555,24010,1524
Argentina,37510,25841,10721,948
Ukraine,34984,17966,16033,985
Poland,31316,14284,15698,1334
Switzerland,31217,361,28900,1956
Philippines,28459,19951,7378,1130
Afghanistan,27878,19368,7962,548
Oman,27670,13571,13974,125
Iraq,25717,13528,11333,856
Ireland,25355,943,22698,1714
Dominican Republic,24645,9717,14293,635
Romania,23400,5361,16555,1484
Panama,23351,9094,13782,475
Bolivia,21499,16800,4002,697
Bahrain,20430,5678,14696,56
Israel,20243,4372,15567,304
Armenia,19157,10572,8266,319
Nigeria,18480,11698,6307,475
Japan,17668,803,15930,935
Austria,17271,442,16141,688
Kazakhstan,16351,6051,10195,105
Moldova,13106,5132,7525,449
Ghana,12929,8395,4468,66
Serbia,12616,847,11511,258
Denmark,12344,502,11242,600
S. Korea,12306,1191,10835,280
Guatemala,11868,9129,2290,449
Algeria,11385,2496,8078,811
Azerbaijan,11329,4998,6192,139
Honduras,10739,9217,1179,343
Cameroon,10638,2808,7548,282
Czechia,10283,2503,7446,334
Morocco,9280,986,8081,213
Norway,8708,326,8138,244
Malaysia,8535,344,8070,121
Nepal,8274,6850,1402,22
Sudan,8020,4567,2966,487
Australia,7409,429,6878,102
Finland,7119,593,6200,326
Ivory Coast,6444,3532,2863,49
Uzbekistan,5855,1637,4199,19
Senegal,5639,1772,3788,79
DRC,5477,4636,719,122
Tajikistan,5279,1466,3762,51
Haiti,4916,4808,24,84
Guinea,4841,1348,3467,26
North Macedonia,4664,2612,1836,216
Djibouti,4557,987,3527,43
Gabon,4340,2651,1657,32
El Salvador,4329,1933,2310,86
Kenya,4257,2681,1459,117
Luxembourg,4091,41,3940,110
Hungary,4081,932,2581,568
Ethiopia,3954,2955,934,65
Bulgaria,3674,1543,1941,190
Venezuela,3483,2620,835,28
Greece,3227,1665,1374,188
Bosnia and Herzegovina,3174,787,2219,168
Thailand,3146,80,3008,58
Kyrgyzstan,2789,796,1961,32
Somalia,2719,1907,724,88
CAR,2605,2169,417,19
Mauritania,2424,1777,550,97
Mayotte,2383,288,2066,29
Cuba,2295,190,2020,85
Croatia,2269,20,2142,107
Maldives,2137,370,1759,8
Estonia,1979,155,1755,69
Sri Lanka,1948,516,1421,11
Costa Rica,1939,990,937,12
Mali,1906,607,1192,107
Albania,1838,682,1114,42
South Sudan,1830,1681,117,32
Nicaragua,1823,521,1238,64
Iceland,1816,5,1801,10
Lithuania,1792,254,1462,76
French Guiana,1758,969,784,5
Equatorial Guinea,1664,1117,515,32
Slovakia,1576,101,1447,28
Slovenia,1513,45,1359,109
New Zealand,1507,3,1482,22
Lebanon,1495,519,944,32
Guinea-Bissau,1492,1324,153,15
Madagascar,1443,932,498,13
Zambia,1416,261,1144,11
Paraguay,1330,600,717,13
Sierra Leone,1272,511,710,51
Tunisia,1132,76,1006,50
Hong Kong,1128,50,1074,4
Latvia,1110,177,903,30
Niger,1020,52,901,67
Jordan,1001,295,697,9
Cyprus,985,148,818,19
Yemen,909,388,273,248
Burkina Faso,899,36,810,53
Georgia,895,140,741,14
Congo,883,465,391,27
Andorra,855,11,792,52
Chad,854,47,733,74
Uruguay,850,12,814,24
Cabo Verde,823,439,377,7
Uganda,755,269,486,0
Diamond Princess,712,48,651,13
San Marino,696,44,610,42
Sao Tome and Principe,688,485,191,12
Malta,663,44,610,9
Mozambique,662,483,175,4
Rwanda,646,294,350,2
Palestine,639,199,437,3
Jamaica,638,170,458,10
Benin,597,348,238,11
Malawi,592,510,74,8
Eswatini,586,315,267,4
Channel Islands,570,10,512,48
Togo,547,181,353,13
Liberia,542,259,250,33
Libya,510,419,81,10
Tanzania,509,305,183,21
Réunion,502,41,460,1
Zimbabwe,463,396,63,4
Taiwan,446,5,434,7
Vietnam,349,23,326,0
Mauritius,337,2,325,10
Montenegro,337,13,315,9
Isle of Man,336,0,312,24
Myanmar,286,93,187,6
Suriname,277,196,74,7
Martinique,221,109,98,14
Comoros,210,76,129,5
Mongolia,204,72,132,0
Cayman Islands,193,51,141,1
Syria,187,102,78,7
Faeroe Islands,187,0,187,0
Guyana,183,69,102,12
Gibraltar,176,0,176,0
Guadeloupe,171,0,157,14
Angola,166,94,64,8
Bermuda,144,7,128,9
Eritrea,142,103,39,0
Brunei,141,0,138,3
Cambodia,129,3,126,0
Trinidad and Tobago,123,6,109,8
Bahamas,104,19,74,11
Burundi,104,28,75,1
Aruba,101,0,98,3
Monaco,99,1,94,4
Barbados,97,5,85,7
Liechtenstein,82,26,55,1
Botswana,79,53,25,1
Sint Maarten,77,0,62,15
Bhutan,67,42,25,0
French Polynesia,60,0,60,0
Macao,45,0,45,0
Saint Martin,42,3,36,3
Namibia,40,21,19,0
Gambia,36,11,24,1
St. Vincent Grenadines,29,3,26,0
Antigua and Barbuda,26,1,22,3
Timor-Leste,24,0,24,0
Curaçao,23,3,19,1
Grenada,23,0,23,0
Belize,22,4,16,2
New Caledonia,21,0,21,0
Laos,19,0,19,0
Saint Lucia,19,1,18,0
Dominica,18,0,18,0
Fiji,18,0,18,0
Saint Kitts and Nevis,15,0,15,0
Falkland Islands,13,0,13,0
Greenland,13,0,13,0
Turks and Caicos,12,0,11,1
Vatican City,12,0,12,0
Montserrat,11,0,10,1
Seychelles,11,0,11,0
MS Zaandam,9,7,0,2
Western Sahara,9,0,8,1
British Virgin Islands,8,0,7,1
Papua New Guinea,8,0,8,0
Caribbean Netherlands,7,0,7,0
St. Barth,6,0,6,0
Lesotho,4,2,2,0
Anguilla,3,0,3,0
Saint Pierre Miquelon,1,0,1,0
China,83325,293,78398,4634
